"id","market","strategy","status","outcome","execution_mode","quality_gate_status","quality_gate_reasons","entry_at","exit_at","side","entry","stop","target","net_pnl","r_multiple","risk","cost_r","fees","slippage","mfe_r","mae_r","exit_reason","quality_score","trend_score","regime"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52046.13","53425.81","-6.43","-1.29","5","0.29","0.95","0.48","0.59","-1.84","Stop Loss","0.6159","0.496","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:119","BTC-EUR","range_bounce","closed_loss","loss","shadow_correlated_duplicate","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52046.13","53425.81","-6.43","-1.29","5","0.29","0.95","0.48","0.59","-1.84","Stop Loss","0.6601","0.6706","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:ADA-EUR:ADA-EUR:mtf:1h:support:0","ADA-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T17:26:57.381Z","2026-06-26T17:31:57.565Z","long","0.13","0.13","0.13","0","","0","","0","0","0.57","0","Take Profit","0.6098","0.5482","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:ADA-EUR:ADA-EUR:mtf:1h:support:0","ADA-EUR","breakout_retest","closed_win","win","primary","passed","","2026-06-26T16:21:55.865Z","2026-06-26T16:26:55.788Z","short","0.13","0.13","0.13","0","","0","","0","0","0.3","0","Take Profit","0.6158","0.4817","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:XRP-EUR:XRP-EUR:htf:4h:support:1","XRP-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-26T00:19:29.901Z","2026-06-26T02:14:32.587Z","long","0.92","0.9","0.95","-5.69","-1.14","5","0.14","0.46","0.23","0","-1.31","Stop Loss","0.6532","0.5606","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:XRP-EUR:XRP-EUR:htf:4h:support:1","XRP-EUR","breakout_retest","closed_loss","break_even","primary","passed","","2026-06-26T01:34:31.712Z","2026-06-26T06:25:41.748Z","short","0.91","0.92","0.88","-1.36","-0.27","5","0.27","0.91","0.45","1.48","-0.12","Break Even","0.6208","0.4673","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:SOL-EUR:SOL-EUR:htf:4h:support:59","SOL-EUR","breakout_retest","closed_win","win","primary","passed","","2026-06-26T01:23:31.390Z","2026-06-26T02:13:32.410Z","short","59.2","59.6","58.61","5.16","1.03","5","0.44","1.48","0.74","2.27","-0.12","Take Profit","0.6039","0.5695","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:SOL-EUR:SOL-EUR:mtf:1h:support:59","SOL-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-25T23:18:28.684Z","2026-06-25T23:28:28.807Z","long","59.29","59","59.72","4.35","0.87","5","0.61","2.04","1.02","2.52","0","Take Profit","0.5988","0.562","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:SOL-EUR:SOL-EUR:mtf:1h:support:59","SOL-EUR","breakout_retest","closed_win","win","primary","passed","","2026-06-25T17:30:48.935Z","2026-06-25T18:05:49.818Z","short","59.11","59.46","58.6","4.76","0.95","5","0.51","1.69","0.84","1.68","0","Take Profit","0.6206","0.4829","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:SOL-EUR:SOL-EUR:mtf:1h:resistance:62","SOL-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-26T15:14:54.045Z","2026-06-26T15:19:54.120Z","short","62.02","62.29","61.63","-8.45","-1.69","5","0.69","2.3","1.15","0","-1.12","Stop Loss","0.6597","0.5468","Unknown"
